Breed,Origin,American Kennel Club
Dogo Argentino,Argentina ,FSS (Miscellaneous)
Dogue de Bordeaux,France,Working Group
Drentse Patrijshond,Netherlands,FSS
Drever,Sweden,
Dunker,Norway,
Dutch Shepherd Dog,Netherlands,FSS
Dutch Smoushond,Netherlands,
East Siberian Laika,Russia,
East-European Shepherd,Russia,
Elo,Germany,
English Cocker Spaniel,United Kingdom (England),Sporting Group
English Foxhound,United Kingdom (England),Hound Group
English Mastiff,United Kingdom (England),Working Group
English Setter,United Kingdom (England),Sporting Group
English Shepherd,United States,
English Springer Spaniel,United Kingdom (England),Sporting Group
Entlebucher Mountain Dog,Switzerland,Herding Group
Épagneul Bleu de Picardie,France,
Estonian Hound,Estonia,
Estrela Mountain Dog,Portugal,FSS
Eurasier,Germany,FSS
Field Spaniel,United Kingdom (England),Sporting Group
Fila Brasileiro,Brazil,
Finnish Hound,Finland,
Finnish Lapphund,Finland,Herding Group
Finnish Spitz,Finland,Non-Sporting Group
Flat-Coated Retriever,United Kingdom,Sporting Group
Fox Terrier,United Kingdom (England),Terrier Group
French Brittany,France,
French Bulldog,"United Kingdom (England), France",Non-Sporting Group
French Spaniel,France,FSS
Gaddi Kutta,Pakistan,
Galgo Español,Spain,
Galician Cattle Dog,Spain,
Garafía Shepherd Dog,Spain,
Gascon Saintongeois,France,
Georgian Shepherd Dog,Georgia,
German Pinscher,Germany,Working Group
German Rough-haired Pointer,Germany,
German Shepherd,Germany,Herding Group
German Shorthaired Pointer,Germany,Sporting Group
German Spaniel,Germany,FSS
German Spitz,Germany,FSS
German Wirehaired Pointer,Germany,Sporting Group
Giant Schnauzer,Germany,Working Group
Glen of Imaal Terrier,Ireland,Terrier Group
Golden Retriever,United Kingdom (Scotland),Sporting Group
Gordon Setter,United Kingdom (Scotland),Sporting Group
Gran Mastín de Borínquen,Puerto Rico,
Grand Anglo-Français Blanc et Noir,France,
Grand Anglo-Français Blanc et Orange,France,
Grand Anglo-Français Tricolore,France,
Grand Griffon Vendéen,France,
Great Dane,Germany,Working Group
Great Pyrenees,"France, Spain",Working Group
Greater Swiss Mountain Dog,Switzerland,Working Group
Greek Harehound,Greece,
Greenland Dog,Greenland,
Greyhound,"United Kingdom, Middle East",Hound Group
Griffon Bleu de Gascogne,France,
Griffon Fauve de Bretagne,France,
Griffon Nivernais,France,
Guatemalan Dogo,Guatemala,
Gull Terrier,Pakistan,
Hamiltonstövare,Sweden,
Hanover Hound,Germany,
Harrier,United Kingdom,Hound Group
Havanese,Cuba,Toy Group
Himalayan Sheepdog,Nepal,
Hokkaido Ken,Japan,
Huntaway,New Zealand,
Hygenhund,Norway,
Ibizan Hound,Spain,Hound Group
Icelandic Sheepdog,Iceland,Herding Group
Indian pariah dog,India,
Indian Spitz,India,
Irish Red and White Setter,Ireland,Sporting Group
Irish Setter,Ireland,Sporting Group
Irish Terrier,Ireland,Terrier Group
Irish Water Spaniel,Ireland,Sporting Group
Irish Wolfhound,Ireland,Hound Group
Istrian Coarse-haired Hound,Croatia,
Istrian Shorthaired Hound,Croatia,
Italian Greyhound,Italy,Toy Group
Jack Russell Terrier,United Kingdom (England),
Jagdterrier,Germany,FSS
Jämthund,Sweden,
Japanese Chin,Japan,Toy Group
Japanese Terrier,Japan,
Kai Ken,Japan,FSS
Kaikadi,India,
Kangal Dog,Turkey,
Kanni,India,
Karakachan Dog,Bulgaria,
Karelian Bear Dog,Finland,FSS
Karst Shepherd,Slovenia,
Keeshond,"Netherlands, Germany",Non-Sporting Group
Kerry Beagle,Ireland,
Kerry Blue Terrier,Ireland,Terrier Group
King Charles Spaniel,United Kingdom (England),Toy Group
King Shepherd,United States,
Kintamani,Indonesia,
Kishu,Japan,FSS
Komondor,Hungary,Working Group
Kooikerhondje,Netherlands,FSS (Miscellaneous)
Koolie,Australia,
Korean Jindo Dog,South Korea,FSS
Kromfohrländer,Germany,FSS
Kumaon Mastiff,India,
Kunming Wolfdog,China,
Kuvasz,Hungary,Working Group
Kyi-Leo,United States,
Labrador Husky,Canada,
Labrador Retriever,"Canada, United Kingdom (England)",Sporting Group
Lagotto Romagnolo,Italy,Sporting Group
Lakeland Terrier,United Kingdom (England),Terrier Group
Lancashire Heeler,United Kingdom (England),FSS
Landseer,Canada,
Lapponian Herder,Finland,
Leonberger,Germany,Working Group
Lhasa Apso,Tibet,Non-Sporting Group
Lithuanian Hound,Lithuania,
Longhaired Whippet,United States,
Mahratta Greyhound,India,
Majorca Ratter,Spain,
Majorca Shepherd Dog,Spain,
Maltese,Italy,Toy Group
Maremma Sheepdog,Italy,
McNab,United States,
Mexican Hairless Dog,Mexico,Non-Sporting Group
Miniature American Shepherd,United States,Herding Group
Miniature Australian Shepherd,United States,
Miniature Fox Terrier,Australia,
Miniature Pinscher,Germany,Toy Group
Miniature Schnauzer,Germany,Terrier Group
Miniature Shar Pei,China,
Mioritic,Romania,
Montenegrin Mountain Hound,Montenegro,
Moscow Watchdog,Russia,
Mountain Cur,United States,
Mucuchies,Venezuela,
Mudhol Hound,India,
Mudi,Hungary,FSS
Murcian Ratter,Spain,
Neapolitan Mastiff,Italy,Working Group
New Zealand Heading Dog,New Zealand,
Newfoundland,Canada,Working Group
Norfolk Terrier,United Kingdom,Terrier Group
Norrbottenspets,Sweden,FSS (Miscellaneous)
Northern Inuit Dog,United Kingdom (England),
Norwegian Buhund,Norway,Herding Group
Norwegian Elkhound,Norway,Hound Group
Norwegian Lundehund,Norway,Non-Sporting Group
Norwich Terrier,United Kingdom,Terrier Group
Nova Scotia Duck-Tolling Retriever,Canada,Sporting Group
Old Croatian Sighthound,Croatia,
Old Danish Pointer,Denmark,
Old English Sheepdog,United Kingdom (England),Herding Group
Old English Terrier,United Kingdom (England),
Old German Shepherd Dog,Germany,
Old Time Farm Shepherd,United States,
Olde English Bulldogge,United States,
Otterhound,United Kingdom (England),Hound Group
Pachon Navarro,Spain,
Pandikona,India,
Papillon,"Spain, Belgium, France",Toy Group
Parson Russell Terrier,United Kingdom (England),Terrier Group
Patterdale Terrier,United Kingdom (England),
Pekingese,China,Toy Group
Pembroke Welsh Corgi,United Kingdom (Wales),Herding Group
Perro de Presa Canario,Spain,FSS
Perro de Presa Mallorquin,Spain,
Perro fino Colombiano,Colombia,
Peruvian Hairless Dog,Peru,FSS (Miscellaneous)
Pharaoh Hound,Malta,Hound Group
Phu Quoc ridgeback dog,Vietnam,
Picardy Spaniel,France,
Plott Hound,United States,Hound Group
Podenco Canario,Spain,FSS
Pointer,United Kingdom (England),Sporting Group
Poitevin , France ,
Polish Greyhound,Poland,
Polish Hound,Poland,
Polish Hunting Dog,Poland,
Polish Lowland Sheepdog,Poland,Herding Group
Polish Tatra Sheepdog,Poland,
Pomeranian,"Germany, Poland",Toy Group
Pont-Audemer Spaniel,France,
Poodle,"Germany, France","Non-Sporting Group, Toy Group"
Porcelaine,France,
Portuguese Pointer,Portugal,FSS
Portuguese Water Dog,Portugal,Working Group
Posavac Hound,Croatia,
Pražský Krysařík,Czech Republic,
Pudelpointer,Germany,
Pug,China,Toy Group
Puli,Hungary,Herding Group
Pumi,Hungary,FSS (Miscellaneous)
Pungsan Dog,North Korea,
Pyrenean Mastiff,Spain,FSS
Pyrenean Shepherd,France,Herding Group
Rafeiro do Alentejo,Portugal,FSS
Rajapalayam,India,
Rampur Greyhound,India,
Rat Terrier,United States,Terrier Group
Ratonero Bodeguero Andaluz,Spain,
Ratonero Valenciano,Spain,
Redbone Coonhound,United States,Hound Group
Rhodesian Ridgeback,Zimbabwe,Hound Group
Rottweiler,Germany,Working Group
Russell Terrier,United Kingdom (England),Terrier Group
Russian Spaniel,Russia,
Russian Toy,Russia,FSS
Russo-European Laika,Russia,
Sabueso Español,Spain,
Saint-Usuge Spaniel,France,
Sakhalin Husky,Japan,
Saluki,Fertile Crescent,Hound Group
Samoyed,Russia,Working Group
Santal Hound,India,
Sapsali,Korea,
Schapendoes,Netherlands,FSS
Schillerstövare,Sweden,
Schipperke,Belgium,Non-Sporting Group
Schweizer Laufhund,Switzerland,
Schweizerischer Niederlaufhund,Switzerland,
Scotch Collie,United Kingdom (Scotland),
Scottish Deerhound,United Kingdom (Scotland),Hound Group
Scottish Terrier,United Kingdom (Scotland),Terrier Group
Sealyham Terrier,United Kingdom (Wales),Terrier Group
Segugio Italiano,Italy,
Seppala Siberian Sleddog,Canada,
Serbian Hound,Serbia,
Serbian Tricolour Hound,Serbia,
Shar Pei,China,Non-Sporting Group
Shetland Sheepdog,United Kingdom (Scotland),Herding Group
Shiba Inu,Japan,Non-Sporting Group
Shih Tzu,China,Toy Group
Shikoku Ken,Japan,
Shiloh Shepherd Dog,United States,
Siberian Husky,Russia,Working Group
Silken Windhound,United States,
Sinhala Hound,Sri Lanka,
Skye Terrier,United Kingdom (Scotland),Terrier Group
Sloughi,Morocco,FSS (Miscellaneous)
Slovak Cuvac,Slovakia,FSS
Slovakian Rough-haired Pointer,Slovakia,
Slovenský Kopov,Slovakia,
Smålandsstövare,Sweden,
Small Greek Domestic Dog,Greece,
Soft-Coated Wheaten Terrier,Ireland,Terrier Group
South Russian Ovcharka,Russia,
Spanish Mastiff,Spain,FSS
Spanish Water Dog,Spain,Herding Group
Spinone Italiano,Italy,Sporting Group
Sporting Lucas Terrier,United Kingdom (England),
St. Bernard,"Italy, Switzerland",Working Group
Stabyhoun,Netherlands,FSS
Staffordshire Bull Terrier,United Kingdom (England),Terrier Group
Standard Schnauzer,Germany,Working Group
Stephens Cur,United States,
Styrian Coarse-haired Hound,Austria,
Sussex Spaniel,United Kingdom (England),Sporting Group
Swedish Lapphund,Sweden,FSS
Swedish Vallhund,Sweden,Herding Group
Taigan,Kyrgyzstan,
Taiwan Dog,Taiwan,
Tamaskan Dog,Finland,
Teddy Roosevelt Terrier,United States,
Telomian,Malaysia,
Tennessee Treeing Brindle,United States,FSS
Tenterfield Terrier,Australia,
Terceira Mastiff,Portugal,
Thai Bangkaew Dog,Thailand,
Thai Ridgeback,Thailand,FSS
Tibetan Mastiff,Tibet,Working Group
Tibetan Spaniel,Tibet,Non-Sporting Group
Tibetan Terrier,Tibet,Non-Sporting Group
Tosa,Japan,FSS
Toy Fox Terrier,United States,Toy Group
Transylvanian Hound,Hungary,FSS
Treeing Cur,United States,
Treeing Walker Coonhound,United States,Hound Group
Tyrolean Hound,Austria,
Uruguayan Cimarron,Uruguay,
Vanjari Hound,India,
Villano de las Encartaciones,Spain,
Vizsla,Hungary,Sporting Group
Volpino Italiano,Italy,
Weimaraner,Germany,Sporting Group
Welsh Sheepdog,United Kingdom (Wales),
Welsh Springer Spaniel,United Kingdom (Wales),Sporting Group
Welsh Terrier,United Kingdom (Wales),Terrier Group
West Highland White Terrier,United Kingdom (Scotland),Terrier Group
West Siberian Laika,Russia,
Westphalian Dachsbracke,Germany,
Wetterhoun,Netherlands,
Whippet,England,Hound Group
White Shepherd,United States,
Xiasi Dog,China,
Yorkshire Terrier,United Kingdom (England),Toy Group
